Name,Country,Position,Age,Team_from,Team_to,League_from,Season,Window, Fee ( Euros Mn) , Transfer Rating 
Romelu Lukaku,Belgium,CF,28,Inter,Chelsea,Serie A,2021/2022,Summer, 113.00 , 5.20 
Marc Guéhi,England,CB,21,Chelsea U23,Palace,Championship,2021/2022,Summer, 23.34 , 7.01 
Joachim Andersen,Denmark,CB,25,Olympique Lyon,Palace,Ligue 1,2021/2022,Summer, 17.50 , 7.27 
Odsonne Edouard,France,CF,23,Celtic,Palace,SPL,2021/2022,Summer, 16.30 , 5.82 
Michael Olise,France,RM,19,Reading,Palace,Championship,2021/2022,Summer, 9.30 , 6.33 
Will Hughes,England,CM,26,Watford,Palace,Championship,2021/2022,Summer, 7.00 , 5.60 
Demarai Gray,Jamaica,LW,25,Bay. Leverkusen,Everton,Bundesliga,2021/2022,Summer, 2.00 , 6.03 
Daniel James,Wales,RW,23,United,Leeds,Premier League,2021/2022,Summer, 29.10 , 6.07 
Junior Firpo,Spain,LB,24,Barcelona,Leeds,La Liga,2021/2022,Summer, 15.00 , 5.55 
Jack Harrison,England,LW,24,City,Leeds,Premier League,2021/2022,Summer, 12.80 , 6.42 
Patson Daka,Zambia,CF,22,RB Salzburg,Leicester,Admiral Bundesliga,2021/2022,Summer, 30.00 , 5.68 
Boubakary Soumaré,France,DM,22,LOSC Lille,Leicester,Ligue 1,2021/2022,Summer, 20.00 , 5.60 
Jannik Vestergaard,Denmark,CB,29,Southampton,Leicester,Premier League,2021/2022,Summer, 17.60 , 5.37 
Ibrahima Konaté,France,CB,22,RB Leipzig,Liverpool,Bundesliga,2021/2022,Summer, 40.00 , 6.87 
Jack Grealish,England,LW,25,Villa,City,Premier League,2021/2022,Summer, 117.50 , 6.92 
Jadon Sancho,England,LW,21,Bor. Dortmund,United,Bundesliga,2021/2022,Summer, 85.00 , 5.27 
Raphaël Varane,France,CB,28,Real Madrid,United,La Liga,2021/2022,Summer, 40.00 , 7.57 
Cristiano Ronaldo,Portugal,CF,36,Juventus,United,Serie A,2021/2022,Summer, 15.00 , 7.55 
Joe Willock,England,CM,21,Arsenal,Newcastle,Premier League,2021/2022,Summer, 29.40 , 6.79 
Christos Tzolis,Greece,LW,19,PAOK Salonika,Norwich,Super League,2021/2022,Summer, 11.00 , 5.42 
Milot Rashica,Kosovo,RW,25,Werder Bremen,Norwich,Bundesliga,2021/2022,Summer, 11.00 , 5.31 
Josh Sargent,United States,CF,21,Werder Bremen,Norwich,Bundesliga,2021/2022,Summer, 9.50 , 5.49 
Ben Gibson,England,CB,28,Burnley,Norwich,Premier League,2021/2022,Summer, 9.30 , 5.81 
Dimitrios Giannoulis,Greece,LB,25,PAOK Salonika,Norwich,Super League,2021/2022,Summer, 7.50 , 5.55 
Angus Gunn,Scotland,GK,25,Southampton,Norwich,Premier League,2021/2022,Summer, 5.85 , 5.58 
Pierre Lees-Melou,France,CM,28,OGC Nice,Norwich,Ligue 1,2021/2022,Summer, 3.90 , 5.62 
Adam Armstrong,England,CF,24,Blackburn,Southampton,Championship,2021/2022,Summer, 17.70 , 5.77 
Romain Perraud,France,LB,23,Stade Brestois,Southampton,Ligue 1,2021/2022,Summer, 12.00 , 5.60 
Lyanco,Brazil,CB,24,Torino,Southampton,Serie A,2021/2022,Summer, 7.50 , 5.93 
Tino Livramento,England,RB,18,Chelsea,Southampton,Premier League,2021/2022,Summer, 5.90 , 6.52 
Emerson Royal,Brazil,RB,22,Barcelona,Spurs,La Liga,2021/2022,Summer, 25.00 , 6.02 
Bryan Gil,Spain,LW,20,Sevilla,Spurs,La Liga,2021/2022,Summer, 25.00 , 5.44 
Pape Matar Sarr,Senegal,CM,18,FC Metz,Spurs,Ligue 1,2021/2022,Summer, 16.90 , 5.35 
Imrân Louza,Morocco,CM,22,FC Nantes,Watford,Ligue 1,2021/2022,Summer, 10.00 , 5.61 
Emmanuel Dennis,Nigeria,CF,23,Club Brugge,Watford,Jupiler Pro League,2021/2022,Summer, 4.00 , 6.72 
Moussa Sissoko,France,CM,32,Spurs,Watford,Premier League,2021/2022,Summer, 3.50 , 6.56 
Ozan Tufan,Turkey,CM,26,Fenerbahce,Watford,Super Lig,2021/2022,Summer, 1.00 , 5.07 
Kurt Zouma,France,CB,26,Chelsea,West Ham,Premier League,2021/2022,Summer, 35.00 , 7.11 
Nikola Vlasic,Croatia,AM,23,CSKA Moscow,West Ham,Premier Liga,2021/2022,Summer, 30.00 , 5.39 
Craig Dawson,England,CB,31,Watford,West Ham,Championship,2021/2022,Summer, 2.30 , 6.79 
Alphonse Areola,France,GK,28,Paris SG,West Ham,Ligue 1,2021/2022,Summer, 2.00 , 6.55 
Rayan Aït-Nouri,Algeria,LB,20,Angers SCO,Wolves,Ligue 1,2021/2022,Summer, 11.10 , 6.30 
José Sá,Portugal,GK,28,Olympiacos,Wolves,Super League,2021/2022,Summer, 8.00 , 7.24 
Francisco Trincão,Portugal,RW,21,Barcelona,Wolves,La Liga,2021/2022,Summer, 6.00 , 6.27 
Lucas Digne,France,LB,28,Everton,Villa,Premier League,2021/2022,Winter, 30.00 , 6.79 
Deniz Undav,Germany,CF,25,Union SG,Brighton,Jupiler Pro League,2021/2022,Winter, 7.00 , 6.48 
Wout Weghorst,Netherlands,CF,29,VfL Wolfsburg,Burnley,Bundesliga,2021/2022,Winter, 17.50 , 5.39 
Jean-Philippe Mateta,France,CF,24,FSV Mainz 05,Palace,Bundesliga,2021/2022,Winter, 11.00 , 5.70 
Vitaliy Mykolenko,Ukraine,LB,22,Dynamo Kyiv,Everton,Ukraine Premier League,2021/2022,Winter, 23.50 , 6.02 
Nathan Patterson,Scotland,RB,20,Rangers,Everton,SPL,2021/2022,Winter, 14.00 , 6.31 
Luis Díaz,Columbia,LW,25,FC Porto,Liverpool,Liga NOS,2021/2022,Winter, 47.00 , 7.03 
Julián Álvarez,Argentina,CF,22,River Plate,City,Primeria Division,2021/2022,Winter, 17.00 , 7.08 
Bruno Guimarães,Brazil,DM,24,Olympique Lyon,Newcastle,Ligue 1,2021/2022,Winter, 42.10 , 7.85 
Kieran Trippier,England,RB,31,Atlético Madrid,Newcastle,La Liga,2021/2022,Winter, 30.00 , 8.08 
Chris Wood,New Zealand,CF,30,Burnley,Newcastle,Premier League,2021/2022,Winter, 30.00 , 5.18 
Dan Burn,England,CB,29,Brighton,Newcastle,Premier League,2021/2022,Winter, 15.00 , 7.82 
Rodrigo Bentancur,Uruguay,CM,24,Juventus,Spurs,Serie A,2021/2022,Winter, 19.00 , 7.66 
Dejan Kulusevski,Sweden,RW,21,Juventus,Spurs,Serie A,2021/2022,Winter, 10.00 , 7.88 
Maduka Okoye,Nigeria,GK,22,Sparta R.,Watford,Eredivisie,2021/2022,Winter, 5.00 , 5.22 
Samir,Brazil,CB,27,Udinese Calcio,Watford,Serie A,2021/2022,Winter, 5.00 , 5.36 
Edo Kayembe,DR Congo,DM,23,KAS Eupen,Watford,Jupiler Pro League,2021/2022,Winter, 4.70 , 6.02 
Hassane Kamara,Ivory Coast,LB,27,OGC Nice,Watford,Ligue 1,2021/2022,Winter, 4.00 , 5.40 
Samuel Kalu,Nigeria,RW,24,G. Bordeaux,Watford,Ligue 1,2021/2022,Winter, 3.00 , 5.27 
Gabriel Jesus,Brazil,CF,25,City,Arsenal,Premier League,2022/2023,Summer, 52.20 , 7.17 
Oleksandr Zinchenko,Ukraine,LB,25,City,Arsenal,Premier League,2022/2023,Summer, 35.00 , 7.28 
Fábio Vieira,Portugal,AM,22,FC Porto,Arsenal,Liga NOS,2022/2023,Summer, 35.00 , 5.69 
Philippe Coutinho,Brazil,LW,30,Barcelona,Villa,La Liga,2022/2023,Summer, 20.00 , 5.71 
Leander Dendoncker,Belgium,DM,27,Wolves,Villa,Premier League,2022/2023,Summer, 15.00 , 5.85 
Marcos Senesi,Argentina,CB,25,Feyenoord,Bournemouth,Eredivisie,2022/2023,Summer, 15.00 , 6.71 
Marcus Tavernier,England,CM,23,Middlesbrough,Bournemouth,Championship,2022/2023,Summer, 11.90 , 6.60 
Keane Lewis-Potter,England,LW,21,Hull City,Brentford,Championship,2022/2023,Summer, 19.00 , 5.64 
Aaron Hickey,Scotland,LB,20,Bologna,Brentford,Serie A,2022/2023,Summer, 16.50 , 6.68 
Mikkel Damsgaard,Denmark,LW,22,Sampdoria,Brentford,Serie A,2022/2023,Summer, 15.00 , 5.62 
Pervis Estupiñán,Ecuador,LB,24,Villarreal,Brighton,La Liga,2022/2023,Summer, 17.80 , 7.06 
Julio Enciso,Paraguay,SS,18,Libertad,Brighton,Paraguayan Primeria Division,2022/2023,Summer, 11.60 , 7.13 
Billy Gilmour,Scotland,CM,21,Chelsea,Brighton,Premier League,2022/2023,Summer, 10.40 , 6.42 
Wesley Fofana,France,CB,21,Leicester,Chelsea,Premier League,2022/2023,Summer, 80.40 , 5.48 
Marc Cucurella,Spain,LB,24,Brighton,Chelsea,Premier League,2022/2023,Summer, 65.30 , 5.43 
Raheem Sterling,England,LW,27,City,Chelsea,Premier League,2022/2023,Summer, 56.20 , 5.58 
Kalidou Koulibaly,Senegal,CB,31,SSC Napoli,Chelsea,Serie A,2022/2023,Summer, 38.00 , 5.47 
Carney Chukwuemeka,England,CM,18,Villa,Chelsea,Premier League,2022/2023,Summer, 18.00 , 5.40 
Pierre-Emerick Aubameyang,Gabon,CF,33,Barcelona,Chelsea,La Liga,2022/2023,Summer, 12.00 , 5.39 
Cheick Doucouré,Mali,DM,22,Lens,Palace,Ligue 1,2022/2023,Summer, 22.60 , 6.34 
Amadou Onana,Belgium,DM,20,LOSC Lille,Everton,Ligue 1,2022/2023,Summer, 35.00 , 6.52 
Dwight McNeil,England,LW,22,Burnley,Everton,Championship,2022/2023,Summer, 24.00 , 6.88 
Neal Maupay,France,CF,26,Brighton,Everton,Premier League,2022/2023,Summer, 11.80 , 5.36 
James Garner,England,DM,21,Man Utd,Everton,Premier League,2022/2023,Summer, 10.40 , 5.33 
Idrissa Gueye,Senegal,CM,32,Paris SG,Everton,Ligue 1,2022/2023,Summer, 4.00 , 6.20 
João Palhinha,Portugal,DM,26,Sporting CP,Fulham,Liga NOS,2022/2023,Summer, 20.00 , 7.00 
Issa Diop,France,CB,25,West Ham,Fulham,Premier League,2022/2023,Summer, 17.80 , 6.72 
Andreas Pereira,Brazil,AM,26,Man Utd,Fulham,Premier League,2022/2023,Summer, 9.50 , 6.85 
Carlos Vinícius,Brazil,CF,27,Benfica,Fulham,Liga NOS,2022/2023,Summer, 5.00 , 5.62 
Bernd Leno,Germany,GK,30,Arsenal,Fulham,Premier League,2022/2023,Summer, 3.60 , 6.81 
Brenden Aaronson,United States,AM,21,RB Salzburg,Leeds,Bundesliga,2022/2023,Summer, 32.84 , 5.22 
Luis Sinisterra,Columbia,LW,23,Feyenoord,Leeds,Eredivisie,2022/2023,Summer, 25.00 , 5.68 
Tyler Adams,United States,DM,23,RB Leipzig,Leeds,Bundesliga,2022/2023,Summer, 17.00 , 6.01 
Rasmus Kristensen,Denmark,RB,24,RB Salzburg,Leeds,Admiral Bundesliga,2022/2023,Summer, 13.00 , 5.77 
Marc Roca,Spain,DM,25,Bayern Munich,Leeds,Bundesliga,2022/2023,Summer, 12.00 , 5.51 
Wilfried Gnonto,Italy,SS,18,FC Zürich,Leeds,Swiss Super League,2022/2023,Summer, 4.50 , 6.33 
Wout Faes,Belgium,CB,24,Stade Reims,Leicester,Ligue 1,2022/2023,Summer, 17.00 , 5.49 
Darwin Núñez,Uruguay,CF,23,Benfica,Liverpool,Liga NOS,2022/2023,Summer, 75.00 , 5.48 
Fábio Carvalho,Portugal,AM,19,Fulham,Liverpool,Premier League,2022/2023,Summer, 5.90 , 5.44 
Erling Haaland,Norway,CF,21,Bor. Dortmund,City,Bundesliga,2022/2023,Summer, 60.00 , 8.44 
Kalvin Phillips,England,DM,26,Leeds,City,Championship,2022/2023,Summer, 49.00 , 5.47 
Manuel Akanji,Switzerland,CB,27,Bor. Dortmund,City,Bundesliga,2022/2023,Summer, 17.50 , 7.63 
Sergio Gómez,Spain,LB,21,RSC Anderlecht,City,Jupiler Pro League,2022/2023,Summer, 13.00 , 5.69 
Antony,Brazil,RW,22,Ajax,United,Eredivisie,2022/2023,Summer, 95.00 , 5.60 
Casemiro,Brazil,DM,30,Real Madrid,United,La Liga,2022/2023,Summer, 70.65 , 7.38 
Lisandro Martínez,Argentina,CB,24,Ajax,United,Eredivisie,2022/2023,Summer, 57.37 , 7.42 
Tyrell Malacia,Netherlands,LB,22,Feyenoord,United,Eredivisie,2022/2023,Summer, 15.00 , 5.64 
Alexander Isak,Sweden,CF,22,Real Sociedad,Newcastle,La Liga,2022/2023,Summer, 70.00 , 7.02 
Sven Botman,Netherlands,CB,22,LOSC Lille,Newcastle,Ligue 1,2022/2023,Summer, 37.00 , 7.18 
Matt Targett,England,LB,26,Villa,Newcastle,Premier League,2022/2023,Summer, 17.50 , 6.06 
Nick Pope,England,GK,30,Burnley,Newcastle,Championship,2022/2023,Summer, 11.50 , 7.25 
Morgan Gibbs-White,England,AM,22,Wolves,Nottm Forest,Premier League,2022/2023,Summer, 29.50 , 6.82 
Taiwo Awoniyi,Nigeria,CF,24,Union Berlin,Nottm Forest,Bundesliga,2022/2023,Summer, 20.50 , 6.39 
Neco Williams,Wales,RB,21,Liverpool,Nottm Forest,Premier League,2022/2023,Summer, 20.00 , 5.77 
Emmanuel Dennis,Nigeria,CF,24,Watford,Nottm Forest,Championship,2022/2023,Summer, 14.80 , 5.35 
Orel Mangala,Belgium,CM,24,VfB Stuttgart,Nottm Forest,Bundesliga,2022/2023,Summer, 13.00 , 5.66 
Moussa Niakhaté,Senegal,CB,26,1.FSV Mainz 05,Nottm Forest,Bundesliga,2022/2023,Summer, 10.00 , 5.52 
Remo Freuler,Switzerland,CM,30,Atalanta BC,Nottm Forest,Serie A,2022/2023,Summer, 9.00 , 6.11 
Willy Boly,Ivory Coast,CB,31,Wolves,Nottm Forest,Premier League,2022/2023,Summer, 2.60 , 6.07 
Harry Toffolo,England,LB,26,Huddersfield,Nottm Forest,Championship,2022/2023,Summer, 2.40 , 5.72 
Gavin Bazunu,Ireland,GK,20,City,Southampton,Premier League,2022/2023,Summer, 14.00 , 5.88 
Sékou Mara,France,CF,19,G. Bordeaux,Southampton,Ligue 1,2022/2023,Summer, 13.00 , 5.37 
Roméo Lavia,Belgium,DM,18,City,Southampton,Premier League,2022/2023,Summer, 12.30 , 6.60 
Duje Caleta-Car,Croatia,CB,25,Marseille,Southampton,Ligue 1,2022/2023,Summer, 10.00 , 5.39 
Armel Bella-Kotchap,Germany,CB,20,VfL Bochum,Southampton,Bundesliga,2022/2023,Summer, 10.00 , 6.25 
Joe Aribo,Nigeria,CM,25,Rangers,Southampton,SPL,2022/2023,Summer, 7.10 , 5.61 
Richarlison,Brazil,CF,25,Everton,Spurs,Premier League,2022/2023,Summer, 58.00 , 5.42 
Cristian Romero,Argentina,CB,24,Atalanta BC,Spurs,Serie A,2022/2023,Summer, 50.00 , 5.60 
Yves Bissouma,Mali,CM,25,Brighton,Spurs,Premier League,2022/2023,Summer, 29.20 , 5.44 
Lucas Paquetá,Brazil,AM,25,Olympique Lyon,West Ham,La Liga,2022/2023,Summer, 42.95 , 5.46 
Gianluca Scamacca,Italy,CF,23,Sassuolo,West Ham,Serie A,2022/2023,Summer, 36.00 , 5.47 
Nayef Aguerd,Morocco,CB,26,Stade Rennais,West Ham,Ligue 1,2022/2023,Summer, 35.00 , 6.38 
Maxwel Cornet,Ivory Coast,LW,25,Burnley,West Ham,Championship,2022/2023,Summer, 20.70 , 5.45 
Emerson,Italy,LB,28,Chelsea,West Ham,Premier League,2022/2023,Summer, 15.40 , 6.11 
Thilo Kehrer,Germany,CB,25,Paris SG,West Ham,Ligue 1,2022/2023,Summer, 12.00 , 5.66 
Flynn Downes,England,CM,23,Swansea,West Ham,England,2022/2023,Summer, 10.65 , 5.40 
Matheus Nunes,Portugal,CM,23,Sporting CP,Wolves,Liga NOS,2022/2023,Summer, 45.00 , 6.09 
Gonçalo Guedes,Portugal,LW,25,Valencia,Wolves,La Liga,2022/2023,Summer, 32.60 , 5.33 
Nathan Collins,Ireland,CB,21,Burnley,Wolves,Championship,2022/2023,Summer, 24.30 , 6.29 
Hee-chan Hwang,South Korea,CF,26,RB Leipzig,Wolves,Bundesliga,2022/2023,Summer, 16.70 , 5.77 
Leandro Trossard,Belgium,LW,28,Brighton,Arsenal,Premier League,2022/2023,Winter, 24.00 , 7.02 
Jorginho,Italy,DM,31,Chelsea,Arsenal,Premier League,2022/2023,Winter, 11.30 , 6.75 
Jhon Durán,Columbia,CF,19,Chicago Fire,Villa,MLS,2022/2023,Winter, 16.64 , 5.42 
Álex Moreno,Spain,LB,29,Real Betis,Villa,La Liga,2022/2023,Winter, 13.50 , 6.80 
Dango Ouattara,Burkina Faso,RW,20,FC Lorient,Bournemouth,Ligue 1,2022/2023,Winter, 22.50 , 6.04 
Antoine Semenyo,Ghana,CF,23,Bristol City,Bournemouth,Championship,2022/2023,Winter, 10.25 , 5.55 
Facundo Buonanotte,Argentina,AM,18,Rosario Central,Brighton,Primeria Division,2022/2023,Winter, 6.00 , 6.48 
Enzo Fernández,Argentina,CM,22,Benfica,Chelsea,Liga NOS,2022/2023,Winter, 121.00 , 6.22 
Mykhaylo Mudryk,Ukraine,LW,22,Shakhtar D.,Chelsea,Ukraine Premier League,2022/2023,Winter, 70.00 , 5.43 
Benoît Badiashile,France,CB,21,Monaco,Chelsea,Ligue 1,2022/2023,Winter, 38.00 , 5.77 
Noni Madueke,England,RW,20,PSV Eindhoven,Chelsea,Eredivisie,2022/2023,Winter, 35.00 , 5.58 
Sasa Lukic,Serbia,CM,26,Torino,Fulham,Serie A,2022/2023,Winter, 9.10 , 5.60 
Georginio Rutter,France,CF,20,TSG Hoffenheim,Leeds,Bundesliga,2022/2023,Winter, 28.00 , 5.37 
Maximilian Wöber,Austria,CB,24,RB Salzburg,Leeds,Admiral Bundesliga,2022/2023,Winter, 12.00 , 5.40 
Harry Souttar,Australia,CB,24,Stoke City,Leicester,Championship,2022/2023,Winter, 17.00 , 5.48 
Victor Kristiansen,Denmark,LB,20,FC Copenhagen,Leicester,Superligaen,2022/2023,Winter, 14.00 , 5.62 
Cody Gakpo,Netherlands,LW,23,PSV Eindhoven,Liverpool,Eredivisie,2022/2023,Winter, 42.00 , 7.02 
Anthony Gordon,England,LW,21,Everton,Newcastle,Premier League,2022/2023,Winter, 45.60 , 5.93 
Danilo,Brazil,DM,21,Palmeiras,Nottm Forest,Brasileiro,2022/2023,Winter, 20.00 , 6.16 
Kamaldeen Sulemana,Ghana,LW,20,Rennes,Southampton,Ligue 1,2022/2023,Winter, 25.00 , 5.46 
Paul Onuachu,Nigeria,CF,28,KRC Genk,Southampton,Jupiler Pro League,2022/2023,Winter, 18.00 , 5.41 
Carlos Alcaraz,Argentina,CM,20,Racing Club,Southampton,Primeria Division,2022/2023,Winter, 13.65 , 5.69 
Danny Ings,England,CF,30,Villa,West Ham,Premier League,2022/2023,Winter, 12.00 , 5.85 
Mario Lemina,Gabon,DM,29,OGC Nice,Wolves,Ligue 1,2022/2023,Winter, 11.00 , 5.59 
Pablo Sarabia,Spain,RW,30,Paris SG,Wolves,Ligue 1,2022/2023,Winter, 5.00 , 5.37 
Craig Dawson,England,CB,32,West Ham,Wolves,Premier League,2022/2023,Winter, 3.75 , 5.88 
